CSD,BOROUGH,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE,SCHOOLWIDE PUPIL-TEACHER RATIO,padded_csd,DBN
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,SCIENCE,Living Environment,-,76.0,3.0,25.3,21.0,28.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,SCIENCE,Chemistry,-,91.0,4.0,22.8,13.0,30.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,SCIENCE,Other Science,-,187.0,8.0,23.4,13.0,28.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,156.0,6.0,26.0,15.0,30.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,SOCIAL STUDIES,Economics,-,67.0,3.0,22.3,18.0,25.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,CTT,ENGLISH,English 9,-,22.0,1.0,22.0,22.0,22.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,CTT,MATH,Integrated Algebra,-,10.0,1.0,10.0,10.0,10.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,CTT,MATH,Geometry,-,22.0,1.0,22.0,22.0,22.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,CTT,MATH,Other Math,-,21.0,1.0,21.0,21.0,21.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,CTT,SCIENCE,Living Environment,-,53.0,2.0,26.5,25.0,28.0,STARS,,2,02M551
6,M,M325,P.S. 325,,,,,,,,,,,,10.7,6,06M325
2,M,M551,The Urban Assembly New York Harbor School,09-12,CTT,SCIENCE,Other Science,-,22.0,1.0,22.0,22.0,22.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,CTT,SOCIAL STUDIES,US History & Government,-,34.0,1.0,34.0,34.0,34.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,,,,,,,,,,,,11.4,2,02M551
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,GEN ED,ENGLISH,English 11,-,42.0,2.0,21.0,21.0,21.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,GEN ED,ENGLISH,English 12,-,114.0,6.0,19.0,13.0,28.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,GEN ED,ENGLISH,Other English,-,284.0,12.0,23.7,14.0,31.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,GEN ED,MATH,Integrated Algebra,-,590.0,27.0,21.9,14.0,32.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,GEN ED,MATH,Geometry,-,50.0,3.0,16.7,15.0,20.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,GEN ED,MATH,Other Math,-,58.0,2.0,29.0,29.0,29.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,GEN ED,SCIENCE,Living Environment,-,389.0,17.0,22.9,16.0,27.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,GEN ED,SCIENCE,Chemistry,-,45.0,3.0,15.0,15.0,15.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,GEN ED,SCIENCE,Physics,-,44.0,2.0,22.0,22.0,22.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,GEN ED,SCIENCE,Other Science,-,44.0,2.0,22.0,19.0,25.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,320.0,15.0,21.3,16.0,27.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,288.0,12.0,24.0,15.0,50.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,GEN ED,SOCIAL STUDIES,Economics,-,44.0,2.0,22.0,15.0,29.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,101.0,3.0,33.7,14.0,58.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,CTT,ENGLISH,English 10,-,40.0,2.0,20.0,20.0,20.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,CTT,ENGLISH,Other English,-,22.0,1.0,22.0,22.0,22.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,CTT,MATH,Integrated Algebra,-,154.0,4.0,38.5,32.0,45.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,CTT,SCIENCE,Earth Science,-,44.0,1.0,44.0,44.0,44.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,CTT,SCIENCE,Living Environment,-,229.0,6.0,38.2,19.0,51.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,CTT,SCIENCE,Chemistry,-,45.0,1.0,45.0,45.0,45.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,CTT,SCIENCE,Other Science,-,23.0,1.0,23.0,23.0,23.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,62.0,2.0,31.0,18.0,44.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,CTT,SOCIAL STUDIES,Economics,-,47.0,1.0,47.0,47.0,47.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,27.0,1.0,27.0,27.0,27.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,46.0,2.0,23.0,23.0,23.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,09-12,SPEC ED,SOCIAL STUDIES,Economics,-,21.0,1.0,21.0,21.0,21.0,STARS,,2,02M575
2,M,M575,Manhattan Comprehensive Night and Day High School,,,,,,,,,,,,19.6,2,02M575
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,ENGLISH,English 9,-,104.0,5.0,20.8,16.0,27.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,ENGLISH,English 10,-,148.0,6.0,24.7,18.0,32.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,ENGLISH,English 11,-,98.0,5.0,19.6,13.0,29.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,ENGLISH,English 12,-,96.0,5.0,19.2,11.0,25.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,MATH,Integrated Algebra,-,188.0,7.0,26.9,20.0,33.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,MATH,Geometry,-,67.0,2.0,33.5,32.0,35.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,MATH,Trigonometry,-,170.0,6.0,28.3,18.0,32.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,MATH,Other Math,-,23.0,1.0,23.0,23.0,23.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,SCIENCE,Earth Science,-,135.0,4.0,33.8,33.0,34.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,SCIENCE,Living Environment,-,522.0,18.0,29.0,20.0,34.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,SCIENCE,Chemistry,-,49.0,2.0,24.5,24.0,25.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,SCIENCE,Physics,-,31.0,1.0,31.0,31.0,31.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,SCIENCE,Other Science,-,54.0,2.0,27.0,17.0,37.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,212.0,8.0,26.5,18.0,30.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,131.0,5.0,26.2,22.0,32.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,SOCIAL STUDIES,Economics,-,21.0,1.0,21.0,21.0,21.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,57.0,2.0,28.5,27.0,30.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,CTT,ENGLISH,English 9,-,57.0,2.0,28.5,26.0,31.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,CTT,ENGLISH,English 10,-,34.0,1.0,34.0,34.0,34.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,CTT,ENGLISH,English 11,-,47.0,2.0,23.5,19.0,28.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,CTT,MATH,Integrated Algebra,-,75.0,3.0,25.0,17.0,31.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,CTT,MATH,Trigonometry,-,34.0,1.0,34.0,34.0,34.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,CTT,SCIENCE,Living Environment,-,187.0,7.0,26.7,13.0,33.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,30.0,1.0,30.0,30.0,30.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,09-12,CTT,SOCIAL STUDIES,US History & Government,-,27.0,1.0,27.0,27.0,27.0,STARS,,2,02M580
2,M,M580,Richard R. Green High School of Teaching,,,,,,,,,,,,14.9,2,02M580
2,M,M586,Harvey Milk High School,09-12,GEN ED,ENGLISH,English 11,-,20.0,1.0,20.0,20.0,20.0,STARS,,2,02M586
2,M,M586,Harvey Milk High School,09-12,GEN ED,ENGLISH,English 12,-,11.0,1.0,11.0,11.0,11.0,STARS,,2,02M586
2,M,M586,Harvey Milk High School,09-12,GEN ED,ENGLISH,Other English,-,68.0,5.0,13.6,13.0,15.0,STARS,,2,02M586
2,M,M586,Harvey Milk High School,09-12,GEN ED,MATH,Integrated Algebra,-,11.0,1.0,11.0,11.0,11.0,STARS,,2,02M586
